Date,tbl_liquidity_index,tbl_liquidity_30d_change,S&P 500,Bitcoin
2024-06-18,54.3021904,-0.93531,5487.03,65140.74
2024-06-17,54.0337535,-1.20375,5473.23,66490.29
2024-06-16,53.9304799,-1.31251,5431.6,66639.05
2024-06-15,53.9304799,-0.83688,5431.6,66191
2024-06-14,53.8522792,-0.60849,5431.6,66011.09
2024-06-13,55.1871766,2.669108,5433.74,66756.4
2024-06-12,55.282183,2.698673,5421.03,68241.18
2024-06-11,54.3415721,0.353499,5375.32,67332.03
2024-06-10,54.7351731,0.747101,5360.79,69512.28
2024-06-09,55.1330095,1.319792,5346.99,69647.99
2024-06-08,55.1330095,1.254123,5346.99,69305.77
2024-06-07,55.0514086,1.367088,5346.99,69342.59
2024-06-06,54.3084669,0.940279,5352.96,70757.17
2024-06-05,54.0041637,0.252737,5354.03,71082.82
2024-06-04,54.2741069,0.742978,5291.34,70567.77
2024-06-03,54.9846816,1.453552,5283.4,68804.78
2024-06-02,55.2231075,1.736181,5277.51,67751.6
2024-06-01,55.2231075,2.486537,5277.51,67706.94
2024-05-31,55.0293751,2.232178,5277.51,67491.42
2024-05-30,54.9866436,2.994554,5235.48,68364.99
2024-05-29,54.5795348,2.623322,5266.95,67578.09
2024-05-28,55.334994,3.347336,5306.04,68296.22
2024-05-27,56.2097008,4.222043,5304.72,69394.55
2024-05-26,56.1764411,4.112253,5304.72,68518.09
2024-05-25,56.1764411,4.734834,5304.72,69265.94
2024-05-24,56.2075261,4.964243,5304.72,68526.1
2024-05-23,55.6541398,3.845747,5267.84,67929.56
2024-05-22,56.1164878,4.481735,5307.01,69122.34
2024-05-21,55.7779371,4.489938,5321.41,70136.53
2024-05-20,55.3401204,4.052121,5308.13,71448.2
2024-05-19,55.237501,3.979395,5303.27,66278.37
2024-05-18,55.237501,3.567062,5303.27,66940.8
2024-05-17,55.2429921,4.165231,5303.27,67051.87
2024-05-16,54.7673617,4.584015,5297.1,65231.58
2024-05-15,54.4607666,4.625245,5308.15,66267.49
2024-05-14,52.5180684,1.375736,5246.68,61552.79
2024-05-13,52.5835097,1.441178,5221.42,62901.45
2024-05-12,53.9880726,2.994894,5222.68,61448.39
2024-05-11,53.9880726,2.400074,5222.68,60793.71
2024-05-10,53.813218,2.145415,5222.68,60792.78
2024-05-09,53.8788867,0.386407,5214.08,63049.96
2024-05-08,53.6843202,0.543185,5187.67,61187.94
2024-05-07,53.3681879,-0.41694,5187.7,62334.82
2024-05-06,53.751427,-0.0337,5180.74,63161.95
2024-05-05,53.5311292,-0.21314,5127.79,64031.13
2024-05-04,53.5311292,-0.09166,5127.79,63891.47
2024-05-03,53.4869268,0.121789,5127.79,62889.84
2024-05-02,52.7365707,-0.8655,5064.2,59123.43
2024-05-01,52.7971968,-1.19121,5018.39,58254.01
2024-04-30,51.9920893,-3.35333,5035.69,60636.86
2024-04-29,51.9562123,-3.33088,5116.17,63841.12
2024-04-28,51.9876581,-3.31761,5099.96,63113.23
2024-04-27,51.9876581,-3.40914,5099.96,63419.14
2024-04-26,52.0641884,-3.31914,5099.96,63755.32
2024-04-25,51.4416073,-3.39264,5048.42,64481.71
2024-04-24,51.2432833,-3.22369,5071.63,64276.9
2024-04-23,51.8083931,-2.8713,5070.55,66407.27
2024-04-22,51.6347525,-3.04494,5010.6,66837.68
2024-04-21,51.2879995,-3.30724,4967.23,64926.64
2024-04-20,51.2879995,-3.38038,4967.23,64994.44
2024-04-19,51.2581059,-3.58608,4967.23,63843.57
2024-04-18,51.6704388,-2.01765,5011.12,63512.75
2024-04-17,51.0777614,-2.23235,5022.21,61276.69
2024-04-16,50.1833464,-3.8451,5051.41,63811.86
2024-04-15,49.8355212,-4.19293,5061.82,63426.21
2024-04-14,51.142332,-3.15052,5123.41,65738.72
2024-04-13,51.142332,-2.98342,5123.41,63821.47
2024-04-12,50.993179,-3.57268,5123.41,67195.86
2024-04-11,51.5879982,-2.284,5199.06,70060.61
2024-04-10,51.6678028,-2.05967,5160.64,70587.88
2024-04-09,53.4924798,-1.02609,5209.91,69139.02
2024-04-08,53.1411348,-1.37743,5202.39,71631.36
